gene	role
CLDN7	predictor
VIM	predictor
CDH1	predictor
GRHL2	predictor
OVOL1	predictor
SLC25A42	predictor
SNX13	predictor
TAF4B	predictor
CRIP2	predictor
CDK2	predictor
MBNL1	predictor
NEURL1B	predictor
ANG	predictor
RP11-903H12.5	predictor
RNASE4	predictor
PPFIBP1	predictor
PACSIN1	predictor
LRRTM1	predictor
TMEM182	predictor
CSMD1	predictor
ZNF503-AS2	predictor
CCNF	predictor
DIRC1	predictor
MBTPS2	predictor
RNF150	predictor
RC3H2	predictor
UBE3C	predictor
HUNK	predictor
CEP135	predictor
SAFB2	predictor
AC068858.1	predictor
OSM	predictor
MTAP	predictor
PDS5B	predictor
ACTN4	predictor
AFF3	predictor
THAP4	predictor
ZNF490	predictor
CLU	predictor
GGCX	predictor
CARF	predictor
REXO2	predictor
LIG3	predictor
BAIAP2-AS1	predictor
SRD5A3-AS1	predictor
FZD10-AS1	predictor
ADAMTS7P3	predictor
ADAMTS7	predictor
RP11-54F2.9	predictor
MIAT	predictor
RP11-74C13.3	predictor
COG1	predictor
CD47	predictor
PLEKHB2	predictor
RP11-343H5.6	predictor
