gene	ne_ref	nonne_ref	class
BEX1	13.67	4.18	NE
ASCL1	12.37	3.61	NE
INSM1	12.72	4.66	NE
CHGA	11.40	3.96	NE
TAGLN3	11.89	3.83	NE
KIF5C	11.49	4.41	NE
CRMP1	12.31	4.87	NE
SCG3	11.25	3.86	NE
SYT4	11.16	3.35	NE
RTN1	11.30	3.90	NE
MYT1	10.02	3.69	NE
SYP	8.94	3.73	NE
KIF1A	13.00	5.49	NE
TMSB15A	12.18	5.07	NE
SYN1	8.99	3.78	NE
SYT11	12.30	5.60	NE
RUNDC3A	9.46	3.86	NE
TFF3	11.99	4.79	NE
CHGB	11.14	4.88	NE
FAM57B	11.64	5.43	NE
SH3GL2	10.62	4.20	NE
BSN	8.66	4.28	NE
SEZ6	9.86	3.58	NE
TMSB15B	11.59	5.33	NE
CELF3	9.04	3.21	NE
RAB27B	4.09	9.57	non_NE
TGFBR2	4.42	10.02	non_NE
SLC16A5	3.96	9.56	non_NE
S100A10	8.27	14.72	non_NE
ITGB4	3.76	9.30	non_NE
YAP1	3.95	9.66	non_NE
LGALS3	4.12	8.94	non_NE
EPHA2	3.79	8.43	non_NE
S100A16	4.84	11.11	non_NE
PLAU	4.88	11.26	non_NE
ABCC3	4.80	11.36	non_NE
ARHGDIB	4.25	10.97	non_NE
CYR61	4.86	11.14	non_NE
PTGES	3.91	10.19	non_NE
CCND1	5.87	12.97	non_NE
IFITM2	5.90	12.80	non_NE
IFITM3	5.60	12.53	non_NE
AHNAK	4.90	10.98	non_NE
CAV2	4.19	10.27	non_NE
TACSTD2	4.65	11.72	non_NE
TGFBI	4.94	12.30	non_NE
EMP1	3.62	10.63	non_NE
CAV1	4.01	11.73	non_NE
ANXA1	4.85	13.07	non_NE
MYOF	4.13	11.97	non_NE
