SAMPLE_ID	mutations	structural_variants
sclc_ucologne_2015_S02328	WGS	WGS
sclc_ucologne_2015_S00050	WGS	WGS
sclc_ucologne_2015_S01494	WGS	WGS
sclc_ucologne_2015_S02322	WGS	WGS
sclc_ucologne_2015_S01542	WGS	WGS
sclc_ucologne_2015_S02289	WGS	WGS
sclc_ucologne_2015_S02287	WGS	WGS
sclc_ucologne_2015_S02286	WGS	WGS
sclc_ucologne_2015_S02285	WGS	WGS
sclc_ucologne_2015_S02284	WGS	WGS
sclc_ucologne_2015_S02401	WGS	WGS
sclc_ucologne_2015_S02400	WGS	WGS
sclc_ucologne_2015_S02403	WGS	WGS
sclc_ucologne_2015_S02402	WGS	WGS
sclc_ucologne_2015_S02404	WGS	WGS
sclc_ucologne_2015_S01297	WGS	WGS
sclc_ucologne_2015_S02347	WGS	WGS
sclc_ucologne_2015_S00501	WGS	WGS
sclc_ucologne_2015_S02351	WGS	WGS
sclc_ucologne_2015_S02350	WGS	WGS
sclc_ucologne_2015_S02353	WGS	WGS
sclc_ucologne_2015_S02352	WGS	WGS
sclc_ucologne_2015_S02355	WGS	WGS
sclc_ucologne_2015_S02354	WGS	WGS
sclc_ucologne_2015_S02255	WGS	WGS
sclc_ucologne_2015_S02256	WGS	WGS
sclc_ucologne_2015_S02348	WGS	WGS
sclc_ucologne_2015_S02274	WGS	WGS
sclc_ucologne_2015_S02237	WGS	WGS
sclc_ucologne_2015_S02234	WGS	WGS
sclc_ucologne_2015_S00832	WGS	WGS
sclc_ucologne_2015_S02139	WGS	WGS
sclc_ucologne_2015_S01861	WGS	WGS
sclc_ucologne_2015_S02245	WGS	WGS
sclc_ucologne_2015_S01864	WGS	WGS
sclc_ucologne_2015_S00947	WGS	WGS
sclc_ucologne_2015_S00842	WGS	WGS
sclc_ucologne_2015_S00841	WGS	WGS
sclc_ucologne_2015_S00833	WGS	WGS
sclc_ucologne_2015_S02249	WGS	WGS
sclc_ucologne_2015_S02248	WGS	WGS
sclc_ucologne_2015_S01453	WGS	WGS
sclc_ucologne_2015_S00830	WGS	WGS
sclc_ucologne_2015_S02243	WGS	WGS
sclc_ucologne_2015_S02242	WGS	WGS
sclc_ucologne_2015_S02241	WGS	WGS
sclc_ucologne_2015_S02360	WGS	WGS
sclc_ucologne_2015_S01023	WGS	WGS
sclc_ucologne_2015_S02209	WGS	WGS
sclc_ucologne_2015_S02244	WGS	WGS
sclc_ucologne_2015_S01366	WGS	WGS
sclc_ucologne_2015_S01524	WGS	WGS
sclc_ucologne_2015_S00472	WGS	WGS
sclc_ucologne_2015_S00339	WGS	WGS
sclc_ucologne_2015_S02384	WGS	WGS
sclc_ucologne_2015_S02385	WGS	WGS
sclc_ucologne_2015_S02382	WGS	WGS
sclc_ucologne_2015_S00035	WGS	WGS
sclc_ucologne_2015_S00356	WGS	WGS
sclc_ucologne_2015_S01873	WGS	WGS
